17.899 0.287109 1.36145
17.919 0.290739 1.45205
17.939 0.293909 1.5409
17.959 0.296669 1.62759
17.979 0.299032 1.71073
17.999 0.301035 1.78987
18.019 0.302707 1.86446
18.039 0.30408 1.93434
18.059 0.305165 1.99844
18.079 0.305992 2.0571
18.099 0.306585 2.1103
18.119 0.306959 2.15788
18.139 0.307137 2.20012
18.159 0.307134 2.23723
18.179 0.306966 2.2694
18.199 0.306648 2.29686
18.219 0.306188 2.3203
18.239 0.305616 2.33931
18.259 0.304915 2.35502
18.279 0.304117 2.36731
18.299 0.303222 2.3766
